,archivo,tiempo_ejecucion,duracion_plan,solucion,calificaciones_subtemas
0,f_1_0.csv,0.523469,531.0,"[2, 4, 5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 34, 35, 36, 37, 38, 40, 42, 44, 46, 47, 48, 49, 50, 51, 53, 55, 64, 66, 56, 58, 60, 61, 63, 67, 69, 70, 71, 72, 73, 76, 77, 79, 80, 81, 82, 83, 84, 86]","{1: 88.0, 2: 84.0, 3: 84.0, 4: 85.0, 5: 81.0, 6: 86.0, 7: 83.0, 8: 86.0}"
1,f_1_1.csv,0.348868,534.0,"[8, 10, 14, 15, 17, 18, 19, 25, 26, 27, 30, 39, 52, 56, 57, 60, 63, 67, 70, 74, 76, 78, 79, 81, 1, 2, 4, 6, 9, 11, 16, 21, 13, 32, 33, 29, 31, 35, 36, 37, 38, 40, 41, 43, 47, 48, 49, 51, 53, 54, 55, 65, 66, 59, 58, 68, 69, 71, 82, 83, 84, 85, 87, 88]","{1: 86.0, 2: 81.0, 3: 83.0, 4: 86.0, 5: 88.0, 6: 83.0, 7: 81.0, 8: 85.0}"
2,f_1_2.csv,0.217218,519.0,"[60, 7, 14, 23, 15, 16, 17, 19, 22, 71, 81, 31, 32, 33, 35, 37, 39, 40, 42, 45, 46, 48, 53, 57, 58, 62, 63, 64, 25, 84, 69, 66, 83, 72, 76, 78, 79, 82, 1, 49, 2, 3, 4, 8, 9, 10, 12, 24, 27, 29, 30, 41, 43, 44, 50, 54, 55, 61, 73, 75, 67, 70, 88, 86]","{1: 84.0, 2: 82.0, 3: 81.0, 4: 88.0, 5: 82.0, 6: 80.0, 7: 81.0, 8: 81.0}"
3,f_2_0.csv,0.428586,515.0,"[2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 32, 23, 24, 26, 27, 28, 30, 31, 34, 35, 36, 37, 38, 40, 41, 42, 44, 45, 48, 50, 51, 52, 53, 54, 55, 64, 65, 56, 57, 58, 60, 61, 62, 67, 68, 69, 70, 72, 73, 74, 76, 78, 79, 81, 83, 85, 86, 87]","{1: 82.0, 2: 84.0, 3: 82.0, 4: 85.0, 5: 82.0, 6: 87.0, 7: 86.0, 8: 85.0}"
4,f_2_1.csv,0.337973,518.0,"[6, 18, 27, 29, 36, 43, 49, 52, 53, 55, 57, 58, 59, 64, 65, 78, 82, 86, 87, 1, 2, 5, 7, 8, 9, 11, 13, 14, 15, 16, 17, 19, 21, 22, 32, 24, 26, 28, 31, 35, 37, 39, 40, 41, 42, 44, 45, 46, 47, 48, 50, 56, 66, 61, 62, 67, 69, 70, 71, 72, 73, 74, 76, 77, 81, 83, 85]","{1: 83.0, 2: 81.0, 3: 84.0, 4: 86.0, 5: 84.0, 6: 87.0, 7: 87.0, 8: 80.0}"
5,f_2_2.csv,0.26991,552.0,"[2, 52, 3, 4, 8, 9, 19, 20, 23, 28, 30, 34, 1, 39, 40, 85, 43, 62, 48, 56, 61, 68, 54, 10, 70, 36, 76, 79, 67, 83, 87, 18, 88, 11, 59, 16, 12, 13, 14, 32, 33, 25, 27, 26, 29, 41, 35, 45, 46, 47, 49, 50, 64, 65, 58, 74, 60, 69, 63, 71, 75, 77, 81, 82, 86]","{1: 88.0, 2: 84.0, 3: 87.0, 4: 81.0, 5: 81.0, 6: 97.0, 7: 87.0, 8: 82.0}"
6,f_3_0.csv,0.603299,531.0,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18, 19, 22, 33, 23, 24, 25, 27, 29, 30, 31, 34, 35, 38, 39, 40, 41, 42, 43, 45, 46, 47, 49, 50, 53, 54, 55, 64, 65, 56, 57, 58, 60, 61, 63, 70, 71, 72, 73, 74, 76, 77, 79, 81, 82, 83, 84, 85, 86, 88]","{1: 92.0, 2: 84.0, 3: 83.0, 4: 85.0, 5: 80.0, 6: 80.0, 7: 87.0, 8: 84.0}"
7,f_3_1.csv,0.405187,510.0,"[3, 11, 13, 15, 24, 30, 34, 35, 38, 39, 40, 42, 43, 48, 49, 50, 52, 54, 55, 56, 58, 59, 66, 67, 71, 75, 76, 84, 85, 86, 1, 2, 6, 8, 9, 10, 12, 14, 16, 17, 21, 22, 32, 33, 23, 25, 26, 28, 29, 41, 36, 51, 46, 65, 57, 61, 62, 74, 77, 69, 68, 78, 79, 81, 82, 83, 88]","{1: 85.0, 2: 82.0, 3: 90.0, 4: 81.0, 5: 80.0, 6: 85.0, 7: 80.0, 8: 89.0}"
8,f_3_2.csv,0.256098,497.0,"[85, 4, 40, 8, 13, 15, 36, 17, 16, 18, 3, 39, 19, 20, 21, 24, 31, 25, 57, 27, 29, 30, 37, 42, 46, 78, 55, 61, 72, 6, 76, 79, 80, 87, 88, 5, 7, 9, 10, 11, 22, 26, 23, 41, 35, 44, 38, 45, 47, 48, 49, 50, 51, 64, 65, 56, 59, 60, 63, 67, 68, 69, 70, 73, 74, 75, 84, 86]","{1: 81.0, 2: 84.0, 3: 81.0, 4: 85.0, 5: 82.0, 6: 82.0, 7: 81.0, 8: 84.0}"
9,f_4_0.csv,0.449883,492.0,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 19, 21, 22, 32, 33, 25, 26, 27, 28, 29, 30, 31, 34, 35, 37, 38, 40, 41, 42, 43, 45, 46, 47, 48, 50, 52, 55, 64, 65, 56, 57, 58, 61, 62, 63, 67, 68, 70, 71, 72, 74, 75, 76, 79, 80, 82, 83, 84, 85, 86, 87]","{1: 89.0, 2: 82.0, 3: 81.0, 4: 82.0, 5: 82.0, 6: 80.0, 7: 83.0, 8: 84.0}"
10,f_4_1.csv,0.239557,544.0,"[5, 8, 12, 18, 21, 23, 24, 25, 26, 28, 29, 31, 33, 37, 40, 47, 49, 51, 53, 54, 57, 58, 61, 62, 67, 68, 71, 74, 76, 79, 80, 82, 88, 1, 2, 4, 7, 9, 11, 14, 15, 19, 20, 22, 34, 38, 39, 41, 43, 44, 48, 46, 64, 66, 56, 60, 63, 69, 70, 81, 83, 85, 87]","{1: 80.0, 2: 80.0, 3: 84.0, 4: 86.0, 5: 81.0, 6: 86.0, 7: 81.0, 8: 81.0}"
11,f_4_2.csv,0.303597,554.0,"[60, 51, 6, 35, 40, 17, 71, 18, 22, 24, 67, 15, 76, 27, 29, 31, 32, 33, 34, 37, 38, 9, 45, 70, 53, 84, 68, 74, 87, 88, 1, 2, 3, 5, 7, 8, 16, 65, 21, 55, 12, 13, 28, 30, 19, 23, 42, 41, 39, 83, 46, 47, 48, 50, 64, 66, 56, 57, 58, 59, 61, 75, 80, 82, 79]","{1: 82.0, 2: 89.0, 3: 85.0, 4: 90.0, 5: 88.0, 6: 85.0, 7: 80.0, 8: 85.0}"
12,f_5_0.csv,0.435828,470.0,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 17, 18, 20, 21, 22, 32, 33, 23, 24, 25, 26, 27, 28, 36, 37, 38, 39, 40, 42, 43, 44, 45, 46, 47, 48, 50, 53, 54, 55, 66, 56, 57, 58, 59, 60, 61, 62, 67, 68, 70, 71, 72, 75, 76, 77, 78, 79, 80, 81, 83, 86, 87, 88]","{1: 81.0, 2: 82.0, 3: 84.0, 4: 84.0, 5: 84.0, 6: 82.0, 7: 84.0, 8: 83.0}"
13,f_5_1.csv,0.286408,525.0,"[7, 16, 22, 25, 27, 33, 34, 35, 40, 46, 47, 53, 58, 62, 64, 66, 67, 68, 70, 74, 76, 78, 79, 82, 86, 87, 1, 2, 4, 5, 6, 9, 10, 11, 12, 14, 17, 19, 20, 21, 32, 23, 24, 28, 29, 36, 37, 38, 41, 42, 43, 48, 51, 52, 55, 56, 57, 59, 60, 61, 73, 69, 80, 83, 84]","{1: 85.0, 2: 81.0, 3: 87.0, 4: 85.0, 5: 83.0, 6: 87.0, 7: 85.0, 8: 80.0}"
14,f_5_2.csv,0.329038,504.0,"[2, 16, 4, 5, 7, 8, 15, 61, 18, 47, 22, 23, 66, 30, 86, 87, 34, 35, 51, 54, 63, 65, 69, 71, 72, 32, 74, 36, 70, 75, 81, 82, 84, 88, 1, 10, 11, 12, 20, 13, 33, 25, 26, 27, 28, 31, 38, 40, 42, 43, 52, 44, 46, 48, 50, 53, 59, 64, 60, 62, 73, 68, 83, 85, 78]","{1: 81.0, 2: 82.0, 3: 86.0, 4: 85.0, 5: 83.0, 6: 80.0, 7: 88.0, 8: 88.0}"
15,i_1_0.csv,0.461405,480.0,"[2, 4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22, 32, 33, 24, 25, 26, 27, 30, 31, 34, 35, 40, 41, 42, 43, 44, 45, 47, 48, 49, 51, 53, 54, 55, 64, 65, 66, 56, 58, 60, 61, 63, 67, 68, 69, 70, 71, 72, 73, 77, 78, 79, 80, 81, 82, 84, 85, 86, 88]","{1: 80.0, 2: 81.0, 3: 80.0, 4: 80.0, 5: 82.0, 6: 83.0, 7: 84.0, 8: 90.0}"
16,i_1_1.csv,0.793373,513.0,"[67, 57, 1, 2, 3, 79, 5, 10, 49, 6, 7, 65, 8, 78, 11, 12, 13, 14, 33, 15, 17, 18, 19, 20, 22, 32, 40, 23, 24, 25, 27, 28, 29, 31, 58, 34, 36, 37, 70, 38, 39, 41, 42, 43, 45, 46, 66, 47, 48, 50, 51, 53, 54, 59, 60, 61, 62, 68, 69, 71, 72, 73, 76, 77, 80, 81, 84, 82, 83, 86, 88]","{1: 81.0, 2: 89.0, 3: 85.0, 4: 89.0, 5: 86.0, 6: 80.0, 7: 85.0, 8: 88.0}"
17,i_1_2.csv,0.5758,538.0,"[1, 19, 3, 4, 5, 87, 6, 8, 9, 10, 38, 13, 14, 15, 17, 18, 20, 21, 49, 22, 32, 33, 23, 24, 26, 85, 28, 29, 30, 31, 34, 35, 36, 37, 39, 43, 44, 45, 52, 47, 46, 48, 51, 69, 54, 55, 64, 66, 72, 56, 58, 59, 61, 62, 63, 67, 68, 70, 71, 75, 76, 83, 78, 79, 80, 81, 82, 84]","{1: 83.0, 2: 89.0, 3: 81.0, 4: 82.0, 5: 87.0, 6: 81.0, 7: 89.0, 8: 91.0}"
