,archivo,tiempo_ejecucion,duracion_plan,solucion,calificaciones_subtemas
0,f_1_0.csv,0.329277,351.0,"[2, 5, 6, 10, 11, 13, 15, 17, 19, 20, 22, 32, 24, 25, 26, 27, 28, 35, 36, 37, 40, 42, 44, 47, 49, 50, 52, 53, 55, 64, 66, 56, 58, 60, 69, 70, 71, 72, 73, 77, 80, 81, 82, 84, 86]","{1: 60.0, 2: 64.0, 3: 64.0, 4: 60.0, 5: 65.0, 6: 61.0, 7: 60.0, 8: 62.0}"
1,f_1_1.csv,0.190115,396.0,"[8, 10, 14, 15, 17, 18, 19, 25, 26, 27, 30, 39, 52, 56, 57, 60, 63, 67, 70, 74, 76, 78, 79, 81, 1, 2, 11, 4, 13, 32, 29, 31, 34, 35, 36, 38, 40, 41, 45, 47, 48, 51, 53, 55, 65, 66, 69, 71, 88, 83, 84, 87]","{1: 61.0, 2: 61.0, 3: 69.0, 4: 68.0, 5: 67.0, 6: 61.0, 7: 68.0, 8: 64.0}"
2,f_1_2.csv,0.118797,427.0,"[60, 7, 14, 23, 15, 16, 17, 19, 22, 71, 81, 31, 32, 33, 35, 37, 39, 40, 42, 45, 46, 48, 53, 57, 58, 62, 63, 64, 25, 84, 69, 66, 83, 72, 76, 78, 79, 82, 1, 49, 2, 3, 4, 8, 9, 24, 30, 41, 52, 54, 55, 75, 67, 70]","{1: 71.0, 2: 73.0, 3: 63.0, 4: 63.0, 5: 76.0, 6: 65.0, 7: 67.0, 8: 63.0}"
3,f_2_0.csv,0.341213,365.0,"[2, 3, 4, 7, 10, 11, 15, 16, 17, 18, 19, 20, 23, 24, 27, 28, 30, 31, 34, 35, 36, 37, 38, 40, 41, 45, 48, 49, 50, 53, 54, 55, 64, 65, 56, 57, 58, 62, 67, 70, 72, 73, 74, 76, 78, 79, 81, 83, 86, 87]","{1: 60.0, 2: 62.0, 3: 64.0, 4: 63.0, 5: 63.0, 6: 67.0, 7: 60.0, 8: 70.0}"
4,f_2_1.csv,0.242084,349.0,"[6, 18, 27, 29, 36, 43, 49, 52, 53, 55, 57, 58, 59, 64, 65, 78, 82, 86, 87, 1, 2, 5, 7, 9, 13, 14, 15, 16, 19, 21, 32, 24, 28, 35, 37, 40, 41, 44, 50, 45, 46, 56, 62, 70, 71, 72, 73, 74, 77, 81, 85]","{1: 60.0, 2: 63.0, 3: 60.0, 4: 63.0, 5: 63.0, 6: 63.0, 7: 60.0, 8: 68.0}"
5,f_2_2.csv,0.164143,410.0,"[2, 52, 3, 4, 8, 9, 19, 20, 23, 28, 30, 34, 1, 39, 40, 85, 43, 62, 48, 56, 61, 68, 54, 10, 70, 36, 76, 79, 67, 83, 87, 18, 88, 17, 13, 14, 32, 33, 27, 26, 29, 49, 69, 53, 45, 65, 63, 75, 71, 86]","{1: 79.0, 2: 65.0, 3: 78.0, 4: 61.0, 5: 60.0, 6: 61.0, 7: 66.0, 8: 60.0}"
6,f_3_0.csv,0.456535,371.0,"[3, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 19, 22, 33, 24, 25, 29, 30, 31, 34, 35, 38, 39, 42, 43, 45, 46, 47, 50, 53, 54, 55, 65, 56, 57, 60, 61, 63, 72, 73, 74, 76, 77, 81, 83, 84, 85, 86, 88]","{1: 68.0, 2: 65.0, 3: 60.0, 4: 67.0, 5: 67.0, 6: 62.0, 7: 61.0, 8: 62.0}"
7,f_3_1.csv,0.154419,382.0,"[3, 11, 13, 15, 24, 30, 34, 35, 38, 39, 40, 42, 43, 48, 49, 50, 52, 54, 55, 56, 58, 59, 66, 67, 71, 75, 76, 84, 85, 86, 8, 1, 10, 9, 21, 20, 12, 14, 33, 23, 25, 28, 29, 57, 62, 77, 69, 68, 81, 82, 83, 78]","{1: 62.0, 2: 70.0, 3: 68.0, 4: 63.0, 5: 62.0, 6: 63.0, 7: 65.0, 8: 66.0}"
8,f_3_2.csv,0.143921,384.0,"[85, 4, 40, 8, 13, 15, 36, 17, 16, 18, 3, 39, 19, 20, 21, 24, 31, 25, 57, 27, 29, 30, 37, 42, 46, 78, 55, 61, 72, 6, 76, 79, 80, 87, 88, 10, 11, 7, 44, 38, 49, 50, 45, 47, 56, 65, 64, 60, 67, 68, 69, 70, 73]","{1: 63.0, 2: 75.0, 3: 60.0, 4: 66.0, 5: 60.0, 6: 64.0, 7: 63.0, 8: 66.0}"
9,f_4_0.csv,0.48968,332.0,"[2, 3, 5, 6, 7, 9, 12, 13, 15, 16, 17, 19, 21, 33, 25, 26, 27, 29, 30, 31, 34, 37, 38, 40, 41, 43, 45, 46, 48, 50, 52, 55, 65, 56, 58, 61, 62, 63, 67, 68, 70, 71, 74, 75, 82, 83, 84, 85, 86, 87]","{1: 61.0, 2: 63.0, 3: 63.0, 4: 62.0, 5: 67.0, 6: 62.0, 7: 64.0, 8: 60.0}"
