,archivo,tiempo_ejecucion,duracion_plan,solucion,calificaciones_subtemas
0,f_1_0.csv,0.429152,437.0,"[2, 4, 5, 6, 7, 10, 11, 13, 14, 15, 17, 19, 20, 22, 23, 24, 25, 26, 27, 29, 34, 35, 36, 37, 40, 42, 44, 46, 47, 48, 49, 50, 53, 55, 64, 66, 56, 58, 60, 61, 67, 69, 70, 71, 72, 73, 77, 80, 81, 82, 83, 84, 86]","{1: 79.0, 2: 73.0, 3: 75.0, 4: 72.0, 5: 71.0, 6: 72.0, 7: 74.0, 8: 71.0}"
1,f_1_1.csv,0.238572,449.0,"[8, 10, 14, 15, 17, 18, 19, 25, 26, 27, 30, 39, 52, 56, 57, 60, 63, 67, 70, 74, 76, 78, 79, 81, 1, 2, 3, 4, 11, 16, 13, 32, 33, 29, 35, 36, 38, 40, 41, 43, 47, 48, 49, 51, 53, 55, 65, 66, 58, 75, 69, 71, 83, 84, 85, 87, 88]","{1: 70.0, 2: 70.0, 3: 72.0, 4: 73.0, 5: 73.0, 6: 70.0, 7: 77.0, 8: 73.0}"
2,f_1_2.csv,0.166923,463.0,"[60, 7, 14, 23, 15, 16, 17, 19, 22, 71, 81, 31, 32, 33, 35, 37, 39, 40, 42, 45, 46, 48, 53, 57, 58, 62, 63, 64, 25, 84, 69, 66, 83, 72, 76, 78, 79, 82, 1, 49, 2, 3, 4, 8, 9, 24, 27, 30, 41, 36, 52, 54, 55, 65, 73, 75, 67, 70, 88]","{1: 71.0, 2: 73.0, 3: 72.0, 4: 72.0, 5: 76.0, 6: 74.0, 7: 81.0, 8: 72.0}"
3,f_2_0.csv,0.412779,431.0,"[2, 3, 4, 6, 7, 10, 11, 13, 14, 15, 16, 18, 19, 23, 24, 26, 27, 28, 30, 31, 34, 35, 36, 37, 38, 40, 41, 42, 45, 48, 49, 50, 51, 53, 54, 55, 64, 65, 56, 57, 58, 60, 62, 67, 68, 70, 72, 73, 74, 76, 78, 79, 81, 83, 86, 87]","{1: 72.0, 2: 72.0, 3: 73.0, 4: 72.0, 5: 77.0, 6: 77.0, 7: 72.0, 8: 70.0}"
4,f_2_1.csv,0.413182,445.0,"[6, 18, 27, 29, 36, 43, 49, 52, 53, 55, 57, 58, 59, 64, 65, 78, 82, 86, 87, 1, 2, 5, 7, 9, 11, 13, 14, 15, 16, 17, 19, 21, 32, 25, 28, 30, 31, 35, 37, 39, 40, 41, 44, 48, 50, 45, 46, 56, 66, 62, 67, 69, 70, 71, 72, 73, 74, 77, 81, 83, 85]","{1: 74.0, 2: 72.0, 3: 72.0, 4: 74.0, 5: 74.0, 6: 72.0, 7: 78.0, 8: 80.0}"
5,f_2_2.csv,0.369287,482.0,"[2, 52, 3, 4, 8, 9, 19, 20, 23, 28, 30, 34, 1, 39, 40, 85, 43, 62, 48, 56, 61, 68, 54, 10, 70, 36, 76, 79, 67, 83, 87, 18, 88, 59, 16, 13, 14, 32, 33, 25, 27, 26, 41, 45, 49, 50, 69, 53, 55, 64, 65, 58, 74, 60, 73, 80, 81, 82]","{1: 79.0, 2: 70.0, 3: 74.0, 4: 70.0, 5: 78.0, 6: 84.0, 7: 70.0, 8: 76.0}"
6,f_3_0.csv,0.385727,439.0,"[3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 15, 16, 18, 19, 22, 33, 23, 24, 25, 29, 30, 31, 34, 35, 38, 39, 40, 41, 42, 45, 46, 47, 49, 50, 54, 55, 65, 56, 57, 58, 60, 61, 63, 71, 72, 73, 74, 76, 77, 79, 81, 83, 84, 85, 86, 88]","{1: 78.0, 2: 74.0, 3: 73.0, 4: 71.0, 5: 71.0, 6: 71.0, 7: 75.0, 8: 71.0}"
7,f_3_1.csv,0.199634,430.0,"[3, 11, 13, 15, 24, 30, 34, 35, 38, 39, 40, 42, 43, 48, 49, 50, 52, 54, 55, 56, 58, 59, 66, 67, 71, 75, 76, 84, 85, 86, 1, 2, 8, 9, 10, 21, 20, 12, 14, 33, 23, 25, 26, 28, 29, 41, 51, 57, 61, 62, 74, 77, 69, 78, 81, 82, 83, 88]","{1: 71.0, 2: 70.0, 3: 79.0, 4: 72.0, 5: 71.0, 6: 72.0, 7: 71.0, 8: 78.0}"
8,f_3_2.csv,0.20218,447.0,"[85, 4, 40, 8, 13, 15, 36, 17, 16, 18, 3, 39, 19, 20, 21, 24, 31, 25, 57, 27, 29, 30, 37, 42, 46, 78, 55, 61, 72, 6, 76, 79, 80, 87, 88, 9, 10, 11, 7, 33, 35, 44, 38, 45, 47, 49, 50, 5, 51, 64, 65, 56, 59, 60, 67, 68, 69, 70, 73, 74, 84]","{1: 81.0, 2: 75.0, 3: 72.0, 4: 75.0, 5: 70.0, 6: 73.0, 7: 72.0, 8: 75.0}"
9,f_4_0.csv,0.466357,407.0,"[2, 3, 5, 6, 7, 9, 10, 12, 13, 15, 16, 17, 19, 21, 22, 33, 25, 26, 27, 28, 29, 30, 31, 34, 37, 38, 40, 41, 42, 43, 45, 46, 48, 49, 50, 52, 55, 64, 65, 56, 58, 61, 62, 63, 67, 68, 70, 71, 72, 74, 75, 79, 82, 83, 84, 85, 86, 87]","{1: 70.0, 2: 76.0, 3: 72.0, 4: 71.0, 5: 76.0, 6: 71.0, 7: 73.0, 8: 70.0}"
10,f_4_1.csv,0.248726,491.0,"[5, 8, 12, 18, 21, 23, 24, 25, 26, 28, 29, 31, 33, 37, 40, 47, 49, 51, 53, 54, 57, 58, 61, 62, 67, 68, 71, 74, 76, 79, 80, 82, 88, 1, 2, 4, 7, 9, 11, 14, 15, 19, 20, 22, 34, 38, 39, 43, 44, 50, 52, 56, 66, 64, 63, 70, 83, 85, 87]","{1: 80.0, 2: 80.0, 3: 84.0, 4: 73.0, 5: 70.0, 6: 77.0, 7: 71.0, 8: 72.0}"
